review_text,n_votes,rating,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
"My old CEO and mentor (James Currier) gave me this book for christmas after I first started work at his company. He said they handed it out at HBS and it was a simple but very powerful intro to managing your finances. And it was. So forget Personal Finance For Dummies (which I also read) - start with this. 
 Personal finance is something that isn't taught in school, but is incredibly important - and the basics aren't very hard. I found this book invaluable as a young software engineer, when I was making a salary and didn't know how to invest it, and I would recommend it for anyone in their 20's. Even if all it does is get you to start to think about compound interest and what starting to save can do for you - that's *huge*.",1,5,1,136,7.78,27.98,57.19,54.49,19.43,16.18,92.65,79.41,61.76,21.32,10.29,5.15,0.0,2.21,1.47,1.47,11.03,11.03,2.94,1.47,13.24,10.29,6.62,11.03,2.21,20.59,7.35,2.94,2.94,0.74,0.74,2.21,13.97,0.74,13.24,2.94,1.47,1.47,2.21,0.74,5.15,0.74,2.21,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,2.94,0.0,0.0,0.0,0.0,0.74,8.09,0.0,0.0,0.0,1.47,1.47,0.0,0.0,1.47,11.03,0.0,0.0,8.09,3.68,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,6.62,2.94,0.0,0.0,2.21,0.0,0.0,0.74,6.62,6.62,6.62,0.0,0.0,0.0,0.0,0.0,0.0,17.65,5.15,2.21,0.0,0.0,3.68,6.62,0
I loved this book. I agree with Elizabeth - the movie wasn't close. Something about Nicholas Cage trying to do an italian accent?,4,5,1,22,58.76,1.0,20.79,86.79,7.33,18.18,81.82,63.64,50.0,18.18,9.09,9.09,0.0,0.0,0.0,0.0,9.09,13.64,9.09,0.0,13.64,9.09,4.55,0.0,4.55,13.64,4.55,0.0,4.55,0.0,4.55,0.0,13.64,0.0,13.64,0.0,0.0,4.55,4.55,0.0,4.55,0.0,4.55,4.55,0.0,4.55,4.55,0.0,0.0,0.0,0.0,0.0,9.09,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,0.0,4.55,0.0,9.09,4.55,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,4.55,0.0,0.0,4.55,0.0,0.0,0.0,0.0,9.09,0.0,0.0,4.55,0.0,4.55,0.0,0.0,22.73,9.09,0.0,4.55,0.0,4.55,4.55,0
I loved the abortion cured crime theory.,6,4,1,7,89.52,1.0,97.09,20.23,7.0,14.29,71.43,28.57,28.57,14.29,14.29,14.29,0.0,0.0,0.0,0.0,0.0,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,28.57,14.29,14.29,14.29,14.29,0.0,0.0,0.0,0.0,0.0,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0
"My old roommate Michael gave me this - its kinda 1999 but totally relevant, and a great starter to learn about web UI.",2,4,1,22,32.02,5.27,99.0,86.79,22.0,22.73,90.91,63.64,45.45,18.18,9.09,9.09,0.0,0.0,0.0,0.0,9.09,18.18,4.55,4.55,9.09,0.0,9.09,9.09,0.0,9.09,9.09,0.0,4.55,4.55,0.0,0.0,27.27,0.0,27.27,13.64,0.0,0.0,4.55,4.55,4.55,0.0,4.55,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,13.64,0.0,0.0,0.0,0.0,0.0,4.55,0.0,4.55,0.0,0.0,4.55,0.0,0.0,4.55,4.55,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,4.55,0.0,0.0,4.55,4.55,0.0,0.0,0.0,13.64,4.55,4.55,0.0,0.0,0.0,4.55,0
"About fads: ""language is such technology"" 
 This book is a fascinating look into early 90's software culture. When Microsoft and Bill ruled the world, and silicon valley was just gaining momentum. 
 Its amazing the changes the ""information superhighway"" brought us! I think Social Networking is born from the lack of geeks (those who make software) having a life in the 90's. These geeks, bogged down in technology (internet, cell phones, email, dvd's, movies, tv shows), found a way to socialize within the parameters of the technology. Then it caught on with others. Hello online dating. Hello friendster.",2,4,1,97,90.88,52.36,60.51,82.53,12.13,22.68,86.6,55.67,43.3,9.28,3.09,1.03,1.03,0.0,0.0,0.0,6.19,15.46,10.31,2.06,12.37,5.15,3.09,4.12,0.0,13.4,4.12,0.0,4.12,3.09,1.03,0.0,7.22,0.0,7.22,3.09,2.06,1.03,0.0,0.0,1.03,0.0,4.12,4.12,0.0,1.03,1.03,0.0,0.0,0.0,0.0,0.0,13.4,7.22,1.03,2.06,0.0,0.0,3.09,3.09,0.0,1.03,0.0,0.0,11.34,0.0,0.0,11.34,4.12,3.09,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,1.03,0.0,0.0,1.03,0.0,1.03,4.12,12.37,2.06,3.09,7.22,1.03,0.0,0.0,5.15,5.15,3.09,0.0,0.0,0.0,0.0,0.0,0.0,28.87,7.22,8.25,0.0,1.03,3.09,9.28,0
If selly says so...,0,0,1,4,1.0,1.0,89.39,,4.0,0.0,75.0,75.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0
One of my top 5 favorites. Read this at the deeper/figuring your life out moments - it will give you strength and inspiration.,7,5,1,23,60.52,95.64,98.67,99.0,11.5,21.74,95.65,69.57,52.17,21.74,13.04,4.35,0.0,8.7,0.0,0.0,8.7,21.74,4.35,8.7,13.04,4.35,0.0,4.35,0.0,13.04,8.7,4.35,4.35,0.0,0.0,4.35,8.7,0.0,8.7,8.7,0.0,0.0,0.0,0.0,0.0,0.0,8.7,8.7,0.0,4.35,4.35,0.0,0.0,0.0,0.0,0.0,17.39,4.35,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,13.04,13.04,0.0,0.0,13.04,0.0,0.0,0.0,4.35,0.0,4.35,4.35,0.0,0.0,0.0,0.0,0.0,17.39,8.7,0.0,0.0,0.0,0.0,8.7,0
Listened it on tape on a road trip... thoroughly enjoyed it!,0,4,1,11,89.52,,5.07,99.0,5.5,27.27,81.82,63.64,54.55,18.18,0.0,0.0,0.0,0.0,0.0,0.0,18.18,9.09,9.09,0.0,18.18,0.0,9.09,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,9.09,0.0,9.09,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,18.18,0.0,0.0,9.09,0.0,9.09,0.0,0.0,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.36,27.27,0.0,0.0,9.09,0.0,0.0,0
"Really good book. It read like a bestseller (quick read), but had a lot of substance to stop and make you think. 
 three Rules of the tipping point: the law of the few, the stickyness factor, the power of context. 
 Law of the Few (people who influence): 
 - Connectors: super connectors (eg Paul Revere). William Dawes had the same mission as Paul Revere the same night but we haven't heard of him b/c Paul Revere was a super-connector & knew who to rouse. 
 - Mavens: A Maven is a person who has information on a lot of different products or prices or places. This person likes to initiate discussions with consumers and respond to requests. They like to be helpers in the marketplace. 
 - Salesmen: people with the skills of persuasion. Good at reading people entering into ""conversational harmony"" with them. Facial gestures (nods, smiles, frowns) are key indicators. Emotional Mimicry. Studies showed Peter Jennings viewers voted Republican b/c he unconsciously smiled more while covering Reagan. 
 Stickyness Factor 
 - Sesame street succeeded b/c it learned to make TV sticky. It did a TON of testing with focus groups of kids to increase stickyness (how much kids remembered) of each show. They would cut scenes that didn't hold attention until each show 
 was good. 
 - Blues Clues did even more testing and discovered that kids love repetition - it plays the same show 5 times in a row and kids love it. 
 - make the message personal to make it memorable 
 The Power of Context 
 - Broken window theory. NYC cleaned up its crime epidemic by cleaning off the graffiti from its subways. 
 - Often to change human behavior you have to change the context the problem is presented in. 
 - Stanford Prison Experiment by Zimbardo proved that context matters. 
 - law of 150: a person can't 'know' more than 150 people, so companies usually start to fail at that point. Gore-Tex breaks up a company into 2 once it hits 150, because they've found things work better that way.",95,4,1,331,90.72,63.31,22.17,76.48,14.39,21.45,83.08,58.01,44.11,8.46,3.63,0.0,0.3,0.6,0.6,1.21,4.83,13.9,7.85,2.11,14.2,5.14,2.42,4.23,0.91,13.9,5.74,5.44,4.83,0.6,1.51,2.72,13.9,0.0,13.29,3.93,3.93,0.6,1.21,0.6,3.63,0.6,6.95,5.14,1.51,2.72,2.11,0.3,0.0,0.0,0.3,0.0,11.78,4.23,0.0,0.3,0.0,0.0,1.51,7.55,0.0,0.0,0.0,0.91,0.91,0.6,0.0,0.3,4.53,0.6,0.3,3.02,0.91,0.0,0.6,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,7.25,6.95,0.91,0.3,3.02,1.81,0.6,0.3,4.23,6.34,1.51,0.6,0.3,0.3,0.0,0.0,0.0,21.45,6.95,2.11,0.0,0.0,1.81,10.57,0
"My old roommate had this, and I've been rather missing it since I moved out...",0,0,1,15,1.0,1.24,99.0,,15.0,13.33,93.33,86.67,73.33,33.33,20.0,20.0,0.0,0.0,0.0,0.0,13.33,13.33,0.0,0.0,13.33,20.0,6.67,13.33,0.0,26.67,6.67,0.0,6.67,6.67,0.0,0.0,13.33,0.0,13.33,0.0,6.67,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,13.33,0.0,6.67,6.67,0.0,0.0,0.0,13.33,26.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,20.0,6.67,0.0,0.0,6.67,0.0,0
"Interesting Tidbits 
 - Three forces need to create the long tail: 
 1. democratize production: give average people the ability to create quality content (movies, music, blogs) 
 2. democratize distribution: technology to aggregate *all* the content in a genre (Amazon, Netflix, iTunes) 
 3. Connect Supply and Demand: filters to help people find the niche's they are interested in (Google, recommendations, best-seller lists) 
 - One quarter of Amazon's sales come from books outside its top 100,000 titles. Thus having a long tail adds ~33% to your bottom line. 
 - Ranking bestsellers across niche's genre's gives little value. Filters to rank items must be applied within each niche to become relevant. Goodreads could improve here. 
 - As the number of niche's increases, the ability of people to consume more content within the genre increases. This depends on the genre, but it gives me hope that we can increase the number of people who read through Goodreads, by creating better filters to connect readers of various niche's. 
 - each year 200,000 books are published in english, and fewer than 20,000 make it into a bookstore. Only 2% of the books published in 2004 sold more than 5000 copies, and can be considered profitable. 
 - There is another factor that determines why people create content, other than money: reputation. 
 - Ebay has 60 million active users",15,5,1,214,94.21,34.73,13.92,71.56,15.29,25.23,80.84,57.01,40.65,5.61,2.34,0.47,0.47,0.47,0.0,0.47,3.27,13.55,6.07,6.54,14.95,5.14,2.34,3.74,0.0,14.02,6.54,10.28,6.54,0.93,4.21,1.87,12.15,0.47,11.21,2.34,1.87,3.27,0.93,0.93,3.27,0.0,3.27,3.27,0.0,0.47,0.47,0.0,0.0,0.0,0.0,0.0,4.21,1.4,0.47,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0,0.0,2.8,0.93,0.0,1.87,6.54,1.87,0.0,3.74,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.47,0.47,0.0,0.0,0.0,0.47,0.0,2.8,7.48,10.28,0.47,0.47,8.88,0.0,0.47,0.0,0.0,0.93,5.61,0.47,0.0,0.0,0.0,0.0,0.0,27.1,6.07,7.01,0.0,0.0,2.8,11.21,0
"If Jacques says its his one of his all-time favorites, then I gotta read it!",1,0,1,15,3.8,40.06,1.91,,15.0,20.0,80.0,80.0,60.0,33.33,20.0,6.67,0.0,0.0,13.33,0.0,13.33,26.67,0.0,6.67,6.67,0.0,0.0,13.33,0.0,20.0,0.0,6.67,0.0,0.0,0.0,0.0,6.67,0.0,6.67,0.0,0.0,0.0,6.67,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6.67,0.0,0.0,0.0,0.0,6.67,13.33,0.0,0.0,0.0,13.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,6.67,6.67,6.67,6.67,0.0,0.0,0.0,20.0,0.0,6.67,0.0,6.67,0.0,6.67,0
"A must read - really interesting stories about how people process things unconsciously. 
 - for instance, you can't hide your feeling about race from your unconscious - take the Race Test (http://www.understandingprejudice.org...). It said I (and 13% of test-takers) have a 'moderate automatic preference for European American compared to African American'. It also said 48% of test-takers have a ""Strong automatic preference for White people"" - crazy! 
 - I loved the bit about President Warren Harding (http://en.wikipedia.org/wiki/Warren_H...), who - according to the author, basically got elected because he ""looked presidential"". I firmly believe looks matter - hey after all I do live in CA where we have the Governator...",11,4,1,102,58.5,73.71,9.16,66.58,17.0,27.45,87.25,66.67,48.04,12.75,9.8,3.92,0.98,2.94,0.98,0.0,2.94,9.8,6.86,1.96,12.75,5.88,9.8,3.92,0.98,14.71,5.88,1.96,4.9,0.98,0.0,3.92,11.76,0.98,10.78,4.9,1.96,3.92,0.0,0.98,1.96,0.0,3.92,2.94,0.0,1.96,0.98,0.0,0.0,0.0,0.0,0.0,13.73,4.9,0.0,0.0,0.0,0.0,3.92,8.82,0.0,0.0,0.0,0.98,11.76,3.92,5.88,1.96,0.98,0.0,0.0,0.98,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,1.96,0.0,0.0,0.0,0.0,0.98,0.98,6.86,6.86,0.0,0.0,2.94,2.94,0.0,0.98,1.96,3.92,1.96,0.0,0.98,0.98,0.0,0.0,0.0,40.2,12.75,2.94,0.0,0.98,2.94,20.59,0
"I read this right after my dad passed away from cancer. Lance was a hero of my dad's for some time, but I'd never seen his autobiography until I found it on my dad's shelf. Lance's drive to survive and win against all odds is an inspiration to anyone, but especially to cancer survivors & their family. It really helped me get through a difficult time, and inspired me to start doing triathlons with Team In Training (a great organization which helps benefit cancer victims). 
 Oh - and Lance is the shit :)",5,5,1,91,63.27,14.02,69.17,99.0,18.2,15.38,90.11,64.84,53.85,16.48,10.99,8.79,0.0,0.0,1.1,1.1,5.49,14.29,5.49,0.0,16.48,5.49,3.3,7.69,1.1,12.09,2.2,2.2,8.79,6.59,1.1,1.1,15.38,2.2,13.19,3.3,0.0,1.1,1.1,1.1,4.4,0.0,12.09,9.89,1.1,3.3,3.3,0.0,0.0,0.0,0.0,1.1,12.09,4.4,3.3,0.0,0.0,1.1,0.0,9.89,3.3,0.0,0.0,4.4,0.0,0.0,0.0,0.0,2.2,0.0,0.0,2.2,0.0,0.0,5.49,3.3,3.3,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,1.1,0.0,0.0,0.0,2.2,0.0,2.2,8.79,3.3,0.0,1.1,1.1,1.1,0.0,0.0,4.4,4.4,3.3,0.0,2.2,1.1,0.0,1.1,0.0,18.68,4.4,3.3,0.0,0.0,4.4,6.59,0
"I remember reading this on Greg's recommendation. It was pretty good overall, just had lots of parts where the author felt it necessary to devote entire pages to decriptions of nature. But to get a glimpse of the life of a surf-bum its a pretty good read. Paints a much different picture than Spicoli...",0,3,1,54,93.76,4.99,27.44,93.93,13.5,20.37,81.48,70.37,53.7,9.26,1.85,1.85,0.0,0.0,0.0,0.0,7.41,18.52,11.11,0.0,16.67,3.7,7.41,3.7,0.0,12.96,12.96,7.41,0.0,0.0,0.0,0.0,16.67,0.0,16.67,3.7,0.0,0.0,3.7,0.0,7.41,1.85,5.56,5.56,0.0,3.7,3.7,0.0,0.0,0.0,0.0,0.0,3.7,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,11.11,5.56,0.0,0.0,1.85,1.85,0.0,1.85,0.0,7.41,1.85,0.0,0.0,0.0,0.0,0.0,0.0,16.67,11.11,1.85,0.0,0.0,1.85,1.85,0
"** spoiler alert ** 
 So the other day Elizabeth and I are in the book store and she saw this book, and said she really wanted me to read it. In horror at the thought of reading what I thought was a 'chick book', i immediately countered that she would then have to read one of my favorites: Dune. She agreed! 
 So I read it, and I have to admit, it was good - damn good. Even though there was a serious lack of any gratuitous violence, I tore through it in several days. Austen is an amazing writer, and has a particular talent for explaining her characters deep motivations (or prejudices) in a few defining sentences. 
 I think my favorite part of it is the unwinding of Elizabeths' prejudices against Mr Darcy. It is done so slowly and artfully and believably that the reader is completely pulled into the story. 
 It is a definite period piece - here are a few funny observations: 
 - Nobody in the book had a job - they all earned income from their estates 
 - Since nobody had jobs they spent all day gossiping 
 - People were judged not by what they did for a living but what family they were from and how they behaved in society. Completely different from today! 
 - Dating was much tougher back then. You needed at least 10 dates to get anywhere, and you probably had to marry in order to go all the way. 
 Jokes aside, this is a classic, and I highly recommend it for any guy or girl.",155,5,1,254,37.2,33.38,58.41,50.44,19.54,16.54,92.13,74.41,61.42,16.14,9.45,4.33,0.0,0.79,1.97,2.36,6.69,14.96,7.09,0.79,12.2,9.06,5.91,7.87,1.18,17.72,5.12,5.51,2.36,0.79,0.79,0.79,14.57,1.97,12.6,3.15,1.18,1.57,2.36,1.97,3.94,0.0,3.94,2.76,0.79,1.97,1.57,0.39,0.39,0.0,0.0,0.39,12.6,5.51,0.0,0.39,0.0,1.18,1.18,7.87,0.39,0.0,2.76,0.79,0.0,0.0,0.0,0.0,4.72,0.39,0.0,3.54,1.18,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,0.39,0.79,0.39,0.0,0.0,0.39,0.39,0.79,4.72,7.87,0.39,1.18,6.3,0.39,0.0,0.0,3.94,7.87,3.54,1.57,0.0,0.0,0.0,0.0,0.0,15.75,4.33,3.54,0.0,0.79,1.18,5.91,0
"Just re-read this for the first time, and it's still one of my favorites. This book is geek-heaven: cryptography, world war II, code-breaking, nazi gold, and modern day internet beginnings all tied together in one masterful story. 
 It also was largely lost on me, and I suspect many of my generation, that the second world war was won - or at least greatly accelerated - in great part due to the fact that we had cracked the German and Japanese codes. Learning more about the efforts of Bletchley Park, and Dr Alan Turing and huffduff and cribs, etc was fascinating. 
 I think the funniest part of the book is the page where Stephenson actually graphs out how productive Waterhouse is when he has recently had sex (very productive) and when he hasn't (not very productive). 
 The code-breaking and cryptography is not stuff I know a ton about, as modern day programmers largely don't have to worry about that stuff, but it's a good reminder to think about, as we don't have it on our brains nearly enough. Avi & Randy's paranoia and tendency to encrypt everything from their hard drives to their emails may be overkill, on the other hand, it also may be wise. I remember getting email from people who used public/private keys to encrypt their email before, but not in the last 5 years. Maybe we should request that Gmail Labs add that! 
 If there was a theme to this book, it's that cryptography is everything. It defined the second world war, and it also defines the modern internet. Information is king - not large caches of gold.",2,5,1,268,24.3,19.23,59.19,25.02,22.33,18.28,85.82,69.4,57.46,14.18,6.34,2.61,1.49,0.0,0.75,1.12,7.84,15.67,5.97,2.24,11.19,9.7,7.84,8.58,2.61,14.18,7.84,7.46,5.97,1.87,2.24,1.87,13.43,1.12,12.31,3.73,0.75,0.37,2.99,0.37,4.48,0.75,4.85,2.61,2.24,1.49,0.75,0.75,0.75,0.0,0.0,0.0,6.72,2.61,0.0,0.75,0.0,0.0,1.49,4.1,0.0,0.0,0.0,1.12,2.99,0.0,0.75,2.24,2.99,0.0,0.0,2.99,0.0,0.0,1.49,0.37,0.0,0.0,0.37,0.0,0.37,0.0,0.0,0.0,0.0,0.37,1.49,0.37,0.0,0.37,0.0,0.37,3.36,5.22,0.37,0.75,3.73,0.0,0.0,0.37,5.22,3.73,6.72,0.75,0.0,0.0,0.0,0.0,0.0,18.66,4.1,6.34,0.0,0.37,2.61,5.22,0
Read about it in a blog: http://www.43folders.com/2004/09/08/g...,2,4,1,7,99.0,,24.32,,7.0,0.0,100.0,71.43,57.14,14.29,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,14.29,14.29,28.57,0.0,14.29,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,0.0,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14,42.86,0.0,0.0,0.0,0.0,14.29,0
"A really well written book that takes you into the far away world of Afghanistan. Highly recommend it. 
 I loved this book, but I must say that one of the things that perhaps made it so emotional was that the main character was such a pansey it made it hard to like him.",11,5,1,53,32.25,40.06,5.76,94.44,17.67,11.32,92.45,83.02,66.04,26.42,7.55,3.77,0.0,1.89,1.89,0.0,18.87,22.64,9.43,1.89,11.32,5.66,7.55,3.77,0.0,15.09,7.55,1.89,0.0,0.0,0.0,0.0,11.32,0.0,11.32,0.0,3.77,1.89,1.89,1.89,1.89,0.0,7.55,5.66,0.0,3.77,1.89,0.0,0.0,0.0,0.0,0.0,11.32,7.55,0.0,0.0,0.0,0.0,3.77,3.77,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,3.77,0.0,0.0,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,1.89,9.43,0.0,0.0,7.55,0.0,0.0,1.89,0.0,11.32,1.89,0.0,0.0,0.0,0.0,0.0,0.0,7.55,5.66,1.89,0.0,0.0,0.0,0.0,0
Great book for some CSS best practices.,0,4,1,7,99.0,,,99.0,7.0,14.29,85.71,57.14,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,28.57,14.29,28.57,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,0.0,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0
"A fascanating history of the NY Times. Interesting tidbits were: 
 - The family was Jewish but so afraid of being dubbed a Jewish paper that they barely covered the holocaust - most stories about the mass graves were buried on page 7 and didn't mention the fact that the victims were mostly Jews. 
 - Adolf Ochs, the first of the family to own the times, bought it completely on borrowed money. He was so in debt it took him 20 years to truly own it. That guy had some large cojones... 
 - The author really played up the stiff competition each generation for publishership. Seems as the the names (ie Arthur Sulzberger) always won..",0,3,1,110,81.89,56.33,3.59,32.87,15.71,14.55,84.55,60.91,52.73,8.18,2.73,0.0,0.0,0.0,1.82,0.91,5.45,20.0,13.64,2.73,10.91,7.27,8.18,4.55,0.91,11.82,4.55,4.55,5.45,0.0,1.82,4.55,8.18,0.91,7.27,0.91,0.0,0.0,2.73,2.73,1.82,0.0,4.55,2.73,1.82,0.91,0.0,0.91,0.91,0.0,0.0,0.0,8.18,2.73,0.0,0.0,0.0,0.0,1.82,5.45,0.0,0.0,0.0,2.73,3.64,0.0,3.64,0.0,7.27,0.91,0.0,0.91,2.73,2.73,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.0,2.73,0.0,0.0,0.0,0.91,0.0,0.91,2.73,2.73,0.0,0.0,1.82,0.0,0.0,0.91,5.45,10.91,0.91,0.0,0.0,0.0,0.0,0.0,0.0,18.18,9.09,1.82,0.0,0.0,0.91,6.36,0
